position,entry_time,entry_price,exit_time,exit_price,profit,profit_pct,duration,reason
LONG,2024-12-11 10:51:00-05:00,22.492300033569336,2024-12-11 10:59:00-05:00,22.65999984741211,0.16769981384277344,0.7455876615218747,8.0,Reversal
SHORT,2024-12-11 11:07:00-05:00,22.660999298095703,2024-12-11 11:10:00-05:00,22.790000915527344,-0.12900161743164062,-0.5692671171940823,3.0,Stop Loss
SHORT,2024-12-11 11:13:00-05:00,22.770000457763672,2024-12-11 11:22:00-05:00,23.08530044555664,-0.31529998779296875,-1.3847166510945936,9.0,Stop Loss
LONG,2024-12-11 11:23:00-05:00,23.030000686645508,2024-12-11 11:26:00-05:00,22.86000061035156,-0.17000007629394887,-0.7381679167405646,3.0,Stop Loss
SHORT,2024-12-11 11:32:00-05:00,22.655000686645508,2024-12-11 11:49:00-05:00,22.769899368286133,-0.114898681640625,-0.5071669748761234,17.0,Stop Loss
LONG,2024-12-11 11:54:00-05:00,22.8700008392334,2024-12-11 12:14:00-05:00,23.18989944458008,0.31989860534668324,1.3987695391680897,20.0,Reversal
LONG,2024-12-11 12:25:00-05:00,23.160999298095703,2024-12-11 12:36:00-05:00,23.020000457763672,-0.14099884033203125,-0.6087770156947596,11.0,Stop Loss
LONG,2024-12-11 12:45:00-05:00,23.114999771118164,2024-12-11 12:47:00-05:00,22.989999771118164,-0.125,-0.5407743942796208,2.0,Stop Loss
SHORT,2024-12-11 12:49:00-05:00,22.950000762939453,2024-12-11 12:57:00-05:00,23.017799377441406,-0.06779861450195312,-0.2954187897520114,8.0,Reversal
LONG,2024-12-11 13:03:00-05:00,23.07250022888184,2024-12-11 13:17:00-05:00,23.065900802612305,-0.006599426269534803,-0.028602995791820303,14.0,Reversal
LONG,2024-12-11 13:21:00-05:00,23.190000534057617,2024-12-11 13:41:00-05:00,23.209999084472656,0.019998550415039062,0.0862378178287168,20.0,Reversal
LONG,2024-12-11 13:46:00-05:00,23.46109962463379,2024-12-11 15:43:00-05:00,24.100000381469727,0.6389007568359375,2.7232344905313033,117.0,Reversal
SHORT,2024-12-11 15:46:00-05:00,24.06999969482422,2024-12-11 15:59:00-05:00,24.059999465942383,0.010000228881835938,0.04154644374169349,13.0,End of Day
SHORT,2024-12-12 09:41:00-05:00,25.165000915527344,2024-12-12 09:44:00-05:00,25.40999984741211,-0.24499893188476562,-0.9735701290342337,3.0,Stop Loss
LONG,2024-12-12 09:49:00-05:00,25.709999084472656,2024-12-12 09:50:00-05:00,25.56999969482422,-0.1399993896484375,-0.5445328457167817,1.0,Stop Loss
LONG,2024-12-12 09:55:00-05:00,25.63990020751953,2024-12-12 09:59:00-05:00,25.46380043029785,-0.1760997772216797,-0.6868192769722017,4.0,Stop Loss
SHORT,2024-12-12 10:00:00-05:00,25.250200271606445,2024-12-12 10:26:00-05:00,25.270000457763672,-0.019800186157226562,-0.07841595688051488,26.0,Reversal
SHORT,2024-12-12 10:35:00-05:00,24.770000457763672,2024-12-12 10:37:00-05:00,24.899999618530277,-0.12999916076660512,-0.5248250236743917,2.0,Stop Loss
LONG,2024-12-12 10:38:00-05:00,24.95770072937012,2024-12-12 10:48:00-05:00,25.0,0.04229927062987926,0.16948384423931187,10.0,Reversal
SHORT,2024-12-12 10:50:00-05:00,24.825000762939453,2024-12-12 10:54:00-05:00,24.95190048217773,-0.1268997192382777,-0.5111771010606482,4.0,Stop Loss
SHORT,2024-12-12 10:57:00-05:00,24.878700256347656,2024-12-12 11:02:00-05:00,25.20070075988769,-0.3220005035400355,-1.2942818564562228,5.0,Stop Loss
LONG,2024-12-12 11:07:00-05:00,25.38719940185547,2024-12-12 11:21:00-05:00,25.0,-0.38719940185546875,-1.525175722325518,14.0,Stop Loss
LONG,2024-12-12 11:31:00-05:00,25.128999710083008,2024-12-12 11:41:00-05:00,24.86000061035156,-0.26899909973144887,-1.0704727718370461,10.0,Stop Loss
SHORT,2024-12-12 11:48:00-05:00,24.65999984741211,2024-12-12 11:49:00-05:00,24.819900512695312,-0.15990066528320312,-0.648421193319608,1.0,Stop Loss
LONG,2024-12-12 12:01:00-05:00,24.6658992767334,2024-12-12 12:13:00-05:00,24.600000381469727,-0.06589889526367188,-0.26716599514306916,12.0,Reversal
LONG,2024-12-12 12:17:00-05:00,24.739999771118164,2024-12-12 12:30:00-05:00,24.61000061035156,-0.12999916076660512,-0.5254614469251856,13.0,Stop Loss
SHORT,2024-12-12 12:36:00-05:00,24.549999237060547,2024-12-12 12:44:00-05:00,24.76000022888184,-0.21000099182129262,-0.8554012152647086,8.0,Stop Loss
LONG,2024-12-12 12:45:00-05:00,24.799999237060547,2024-12-12 12:50:00-05:00,24.61739921569824,-0.18260002136230824,-0.7362904313699936,5.0,Stop Loss
SHORT,2024-12-12 12:52:00-05:00,24.63500022888184,2024-12-12 12:57:00-05:00,24.759300231933597,-0.12430000305175781,-0.5045666811321141,5.0,Stop Loss
LONG,2024-12-12 12:58:00-05:00,24.770000457763672,2024-12-12 13:09:00-05:00,24.790000915527344,0.020000457763671875,0.08074468063807856,11.0,Reversal
SHORT,2024-12-12 13:10:00-05:00,24.729999542236328,2024-12-12 13:16:00-05:00,24.790000915527344,-0.060001373291015625,-0.24262585686077096,6.0,Reversal
LONG,2024-12-12 13:19:00-05:00,24.85540008544922,2024-12-12 13:21:00-05:00,24.600000381469727,-0.2553997039794922,-1.027542116004834,2.0,Stop Loss
LONG,2024-12-12 13:28:00-05:00,24.584999084472656,2024-12-12 13:42:00-05:00,24.61000061035156,0.025001525878902697,0.10169423148237217,14.0,Reversal
SHORT,2024-12-12 13:45:00-05:00,24.26000022888184,2024-12-12 13:47:00-05:00,24.46999931335449,-0.20999908447264914,-0.8656186417617695,2.0,Stop Loss
SHORT,2024-12-12 13:51:00-05:00,24.34000015258789,2024-12-12 14:30:00-05:00,23.32999992370605,1.0100002288818395,4.1495489833612575,39.0,Reversal
LONG,2024-12-12 14:35:00-05:00,23.395700454711918,2024-12-12 14:41:00-05:00,23.25,-0.14570045471191762,-0.6227659436568542,6.0,Stop Loss
SHORT,2024-12-12 14:42:00-05:00,23.120100021362305,2024-12-12 14:45:00-05:00,23.25,-0.1298999786376953,-0.5618486880146344,3.0,Stop Loss
LONG,2024-12-12 14:50:00-05:00,23.27549934387207,2024-12-12 15:23:00-05:00,23.299999237060547,0.024499893188476562,0.1052604407171477,33.0,Reversal
SHORT,2024-12-12 15:25:00-05:00,23.1299991607666,2024-12-12 15:59:00-05:00,23.165000915527344,-0.03500175476074219,-0.15132622581375882,34.0,End of Day
SHORT,2024-12-13 09:38:00-05:00,22.8799991607666,2024-12-13 09:39:00-05:00,23.019500732421875,-0.13950157165527344,-0.6097096886895139,1.0,Stop Loss
LONG,2024-12-13 09:47:00-05:00,23.21500015258789,2024-12-13 09:49:00-05:00,23.09000015258789,-0.125,-0.5384449673848726,2.0,Stop Loss
LONG,2024-12-13 09:51:00-05:00,23.190000534057617,2024-12-13 10:40:00-05:00,23.84129905700684,0.6512985229492223,2.8085317289782004,49.0,Reversal
SHORT,2024-12-13 10:41:00-05:00,23.809999465942383,2024-12-13 11:03:00-05:00,23.33799934387207,0.4720001220703125,1.9823609099423014,22.0,Reversal
LONG,2024-12-13 11:18:00-05:00,23.80769920349121,2024-12-13 11:41:00-05:00,23.63500022888184,-0.17269897460937145,-0.7253912825983895,23.0,Stop Loss
SHORT,2024-12-13 11:43:00-05:00,23.670000076293945,2024-12-13 12:01:00-05:00,23.79990005493164,-0.1298999786376953,-0.5487958522137613,18.0,Stop Loss
LONG,2024-12-13 12:02:00-05:00,23.65010070800781,2024-12-13 12:20:00-05:00,23.82999992370605,0.1798992156982422,0.760669977347408,18.0,Reversal
SHORT,2024-12-13 12:27:00-05:00,23.56599998474121,2024-12-13 12:38:00-05:00,23.690000534057617,-0.12400054931640625,-0.5261841186314843,11.0,Stop Loss
LONG,2024-12-13 12:47:00-05:00,23.799999237060547,2024-12-13 13:00:00-05:00,23.670000076293945,-0.12999916076660156,-0.5462149787138283,13.0,Stop Loss
